Date;PO;TPS;TVQ;Total_Des_Departements;Rabais
2022-03-28;;;;;
2022-03-29;0.00;21.72;43.33;518.30;0.00
2022-03-30;0.00;10.51;19.37;210.25;0.00
2022-03-31;0.00;4.08;4.35;81.60;0.00
2022-04-01;0.00;9.74;19.42;248.70;0.00
2022-04-02;0.00;62.86;113.38;1312.60;56.10
2022-04-03;;;;0.00;
2022-04-04;;;;;
2022-04-05;0.00;23.86;47.34;506.77;0.00
2022-04-06;0.00;121.52;220.68;2433.50;3.67
2022-04-07;0.00;21.04;35.97;420.85;0.00
2022-04-08;0.00;16.28;15.56;325.60;0.00
2022-04-09;0.00;19.95;37.89;399.10;0.00
2022-04-10;0.00;24.40;41.15;487.70;0.00
2022-04-11;;;;;
2022-04-12;0.00;16.07;29.25;321.25;0.00
2022-04-13;20.00;11.88;21.31;237.65;0.00
2022-04-14;0.00;36.01;67.77;720.05;0.00
2022-04-15;0.00;26.07;52.01;563.64;0.00
2022-04-16;60.00;70.94;97.63;1418.45;0.00
2022-04-17;;;;460.00;
2022-04-18;;;;;
2022-04-19;0.00;11.86;23.63;256.90;0.00
2022-04-20;0.00;6.10;9.96;121.90;0.00
2022-04-21;0.00;11.31;22.55;226.05;0.00
2022-04-22;0.00;26.76;43.53;535.10;0.00
2022-04-23;0.00;20.29;38.46;405.50;0.00
2022-04-24;81.23;131.80;264.11;2751.58;176.00
2022-04-25;;;;;
2022-04-26;60.00;78.32;134.99;1780.07;29.66
2022-04-27;;;;-10.25;
2022-04-28;20.00;37.43;64.49;756.40;0.00
2022-04-29;61.75;33.60;48.93;1107.10;0.00
2022-04-30;0.00;21.81;40.28;508.05;0.00
2022-05-01;40.00;26.60;51.72;418.40;6.90
2022-05-02;;;;;
2022-05-03;0.00;28.56;41.48;571.10;0.00
2022-05-04;0.00;3.56;3.61;71.20;0.00
2022-05-05;0.00;18.16;30.92;362.90;0.00
2022-05-06;0.00;7.21;14.37;144.10;0.00
2022-05-07;0.00;30.68;56.98;497.75;4.55
2022-05-08;0.00;12.27;24.46;245.25;0.00
2022-05-09;;;;;
2022-05-10;0.00;63.39;123.91;1271.40;3.75
2022-05-11;0.00;13.20;26.33;264.00;0.00
2022-05-12;0.00;38.47;69.54;769.22;0.00
2022-05-13;30.00;25.68;51.22;531.50;0.00
2022-05-14;0.00;13.86;24.45;277.15;0.00
2022-05-15;100.00;78.69;137.96;1533.70;20.30
2022-05-16;;;;;
2022-05-17;0.00;14.34;12.35;286.75;0.00
2022-05-18;0.00;19.95;14.72;408.64;9.60
2022-05-19;0.00;16.75;33.38;334.56;0.00
2022-05-20;40.00;28.38;57.61;577.50;0.00
2022-05-21;0.00;10.18;20.31;203.50;0.00
2022-05-22;0.00;36.62;73.02;732.00;0.00
2022-05-23;;;;;
2022-05-24;0.00;22.14;41.93;442.40;0.00
2022-05-25;80.00;34.47;65.25;689.10;0.00
2022-05-26;0.00;36.69;70.17;733.55;0.00
2022-05-27;0.00;23.77;47.43;493.00;17.63
2022-05-28;0.00;49.83;94.62;1142.75;0.00
2022-05-29;20.00;46.77;88.80;935.30;0.00
2022-05-30;;;;;
2022-05-31;0.00;8.90;17.75;267.40;0.00
2022-06-01;;;;357.05;
2022-06-02;40.00;59.61;87.97;1200.85;9.00
2022-06-03;0.00;21.26;42.41;425.01;0.00
2022-06-04;40.00;33.16;66.11;662.70;0.00
2022-06-05;20.00;25.27;50.39;505.15;0.00
2022-06-06;;;;;
2022-06-07;0.00;23.34;46.55;598.00;0.00
2022-06-08;60.00;17.70;25.33;354.40;0.00
2022-06-09;0.00;5.76;8.69;115.10;0.00
2022-06-10;0.00;19.89;32.78;585.41;0.00
2022-06-11;0.00;35.75;67.33;714.95;0.00
2022-06-12;0.00;25.33;47.38;529.46;16.23
2022-06-13;;;;;
2022-06-14;0.00;21.27;42.44;425.40;0.00
2022-06-15;0.00;11.56;19.08;231.20;0.00
2022-06-16;0.00;36.19;67.42;723.75;0.00
2022-06-17;0.00;23.82;35.98;617.54;0.00
2022-06-18;20.00;30.90;57.93;617.80;0.00
2022-06-19;0.00;22.27;40.01;415.05;0.00
2022-06-20;;;;;
2022-06-21;0.00;7.56;15.08;151.15;0.00
2022-06-22;0.00;25.48;50.82;509.50;0.00
2022-06-23;0.00;20.03;24.00;380.52;0.00
2022-06-24;;;;0.00;
2022-06-25;0.00;11.60;23.14;231.90;0.00
2022-06-26;0.00;44.16;88.11;883.20;0.00
2022-06-27;;;;;
2022-06-28;0.00;49.65;82.66;950.33;0.00
2022-06-29;0.00;26.22;51.91;524.10;0.00
2022-06-30;0.00;34.88;64.66;747.37;50.00
2022-07-01;;;;;
2022-07-02;0.00;25.62;51.09;512.05;0.00
2022-07-03;73.90;37.90;60.63;758.15;0.00
2022-07-04;;;;;
2022-07-05;0.00;26.70;41.91;615.63;0.00
2022-07-06;0.00;23.33;44.54;424.20;0.00
2022-07-07;0.00;7.39;14.37;147.75;0.00
2022-07-08;0.00;28.74;43.34;586.99;0.00
2022-07-09;0.00;34.76;55.14;694.85;0.00
2022-07-10;0.00;26.86;53.54;486.58;0.00
2022-07-11;;;;;
2022-07-12;0.00;13.28;26.49;265.50;0.00
2022-07-13;20.00;28.59;57.01;571.55;0.00
2022-07-14;0.00;19.02;37.50;380.25;0.00
2022-07-15;0.00;7.02;14.01;144.10;3.75
2022-07-16;0.00;13.00;25.91;259.70;0.00
2022-07-17;0.00;7.69;15.33;153.70;0.00
2022-07-18;;;;;
2022-07-19;0.00;10.86;16.97;217.20;0.00
2022-07-20;0.00;14.58;29.06;291.20;0.00
2022-07-21;0.00;17.64;33.39;273.19;0.00
